Region,City,Year,Quarter,Total
Comunitat Valenciana,Alicante/Alacant,2011,2,1338.7
Comunitat Valenciana,Castellón/Castelló,2011,2,1392.1
Comunitat Valenciana,Valencia/València,2011,2,1288.5
Extremadura,Total,2011,2,956.9
Extremadura,Badajoz,2011,2,945.4
Extremadura,Cáceres,2011,2,986.9
Galicia,Total,2011,2,1369.3
Galicia,A Coruña,2011,2,1389.9
Galicia,Lugo,2011,2,1052.8
Galicia,Ourense,2011,2,1108.8
Galicia,Pontevedra,2011,2,1425.0
Comunidad de Madrid,Madrid,2011,2,2339.9
Región de Murcia,Murcia,2011,2,1217.3
Comunidad Foral de Navarra,Navarra,2011,2,1433.9
País Vasco,Total,2011,2,2551.1
País Vasco,Araba/Álava,2011,2,2152.2
País Vasco,Gipuzkoa,2011,2,2727.9
País Vasco,Bizkaia,2011,2,2558.6
La Rioja,La Rioja,2011,2,1390.3
Ceuta,Ceuta,2011,2,1832.6
Melilla,Melilla,2011,2,1641.4
Andalucía,Total,2011,3,1474.1
Andalucía,Almería,2011,3,1323.8
Andalucía,Cádiz,2011,3,1637.7
Andalucía,Córdoba,2011,3,1308.6
Andalucía,Granada,2011,3,1291.1
Andalucía,Huelva,2011,3,1405.4
Andalucía,Jaén,2011,3,1012.0
Andalucía,Málaga,2011,3,1736.2
Andalucía,Sevilla,2011,3,1556.7
Aragón,Total,2011,3,1491.1
Aragón,Huesca,2011,3,1406.5
Aragón,Teruel,2011,3,926.8
Aragón,Zaragoza,2011,3,1586.4
Principado de Asturias,Asturias,2011,3,1574.2
Illes Balears,Illes Balears,2011,3,1953.1
Canarias,Total,2011,3,1492.5
Canarias,Las Palmas,2011,3,1488.5
Canarias,Santa Cruz de Tenerife,2011,3,1504.1
Cantabria,Cantabria,2011,3,1789.0
Castilla y León,Total,2011,3,1269.4
Castilla y León,Ávila,2011,3,1115.9
Castilla y León,Burgos,2011,3,1441.0
Castilla y León,León,2011,3,1092.9
Castilla y León,Palencia,2011,3,1191.2
Castilla y León,Salamanca,2011,3,1378.8
Castilla y León,Segovia,2011,3,1290.2
Castilla y León,Soria,2011,3,1308.2
Castilla y León,Valladolid,2011,3,1333.4
Castilla y León,Zamora,2011,3,1034.4
Castilla - La Mancha,Total,2011,3,1138.7
Castilla - La Mancha,Albacete,2011,3,1141.8
Castilla - La Mancha,Ciudad Real,2011,3,949.3
Castilla - La Mancha,Cuenca,2011,3,1002.1
Castilla - La Mancha,Guadalajara,2011,3,1399.2
Castilla - La Mancha,Toledo,2011,3,1104.6
Cataluña,Total,2011,3,2051.8
Cataluña,Barcelona,2011,3,2306.9
Cataluña,Girona,2011,3,1880.4
Cataluña,Lleida,2011,3,1215.3
Cataluña,Tarragona,2011,3,1575.6
Comunitat Valenciana,Total,2011,3,1334.1
Comunitat Valenciana,Alicante/Alacant,2011,3,1358.5
Comunitat Valenciana,Castellón/Castelló,2011,3,1379.7
Comunitat Valenciana,Valencia/València,2011,3,1308.0
Extremadura,Total,2011,3,975.3
Extremadura,Badajoz,2011,3,930.5
Extremadura,Cáceres,2011,3,1060.7
Galicia,Total,2011,3,1363.1
Galicia,A Coruña,2011,3,1368.7
Galicia,Lugo,2011,3,1007.4
Galicia,Ourense,2011,3,1068.5
Galicia,Pontevedra,2011,3,1465.1
Comunidad de Madrid,Madrid,2011,3,2272.5
Región de Murcia,Murcia,2011,3,1222.6
Comunidad Foral de Navarra,Navarra,2011,3,1360.5
País Vasco,Total,2011,3,2578.0
País Vasco,Araba/Álava,2011,3,2223.2
País Vasco,Gipuzkoa,2011,3,2746.0
País Vasco,Bizkaia,2011,3,2567.1
