Region,City,Year,Quarter,Total_Transactions,Total_Price,Regime,Condition
Principado de Asturias,Asturias,2020,4,2934,305032500,Libre,Segunda mano
Principado de Asturias,Asturias,2020,2,1318,132011800,Libre,Segunda mano
Principado de Asturias,Asturias,2020,1,1957,184863200,Libre,Segunda mano
Principado de Asturias,Asturias,2004,3,2594,219954900,Libre,Segunda mano
Principado de Asturias,Asturias,2005,3,2427,244925000,Libre,Segunda mano
Principado de Asturias,Asturias,2009,3,1171,135942700,Libre,Segunda mano
Principado de Asturias,Asturias,2014,3,1191,117202500,Libre,Segunda mano
Principado de Asturias,Asturias,2006,3,2679,312575700,Libre,Segunda mano
Principado de Asturias,Asturias,2007,3,2265,278277100,Libre,Segunda mano
Principado de Asturias,Asturias,2024,3,3662,426397600,Libre,Segunda mano
Principado de Asturias,Asturias,2019,3,1996,188955900,Libre,Segunda mano
Principado de Asturias,Asturias,2008,3,1189,140474500,Libre,Segunda mano
Principado de Asturias,Asturias,2010,3,1195,139450900,Libre,Segunda mano
Principado de Asturias,Asturias,2011,3,940,106670900,Libre,Segunda mano
Principado de Asturias,Asturias,2012,3,833,79436500,Libre,Segunda mano
Principado de Asturias,Asturias,2013,3,798,75587700,Libre,Segunda mano
Principado de Asturias,Asturias,2018,3,2132,211817400,Libre,Segunda mano
Principado de Asturias,Asturias,2015,3,1400,133685900,Libre,Segunda mano
Principado de Asturias,Asturias,2016,3,1691,159299300,Libre,Segunda mano
Principado de Asturias,Asturias,2017,3,1919,181757300,Libre,Segunda mano
Principado de Asturias,Asturias,2021,3,2871,307647700,Libre,Segunda mano
Principado de Asturias,Asturias,2022,3,3018,330102600,Libre,Segunda mano
Principado de Asturias,Asturias,2023,3,2973,318315200,Libre,Segunda mano
Principado de Asturias,Asturias,2010,4,2026,252149500,Libre,Segunda mano
Principado de Asturias,Asturias,2013,4,1119,127427200,Libre,Segunda mano
Principado de Asturias,Asturias,2011,4,1051,114465300,Libre,Segunda mano
Principado de Asturias,Asturias,2015,4,1719,165513800,Libre,Segunda mano
Principado de Asturias,Asturias,2019,4,2606,263552500,Libre,Segunda mano
Principado de Asturias,Asturias,2017,4,2170,207625300,Libre,Segunda mano
Principado de Asturias,Asturias,2016,4,1893,178296100,Libre,Segunda mano
Principado de Asturias,Asturias,2021,4,3338,352328900,Libre,Segunda mano
Principado de Asturias,Asturias,2018,4,2381,231085100,Libre,Segunda mano
Principado de Asturias,Asturias,2022,4,3261,335610000,Libre,Segunda mano
Principado de Asturias,Asturias,2023,4,3485,364570500,Libre,Segunda mano
Principado de Asturias,Asturias,2008,4,1149,128599000,Libre,Segunda mano
Principado de Asturias,Asturias,2014,4,1649,162357500,Libre,Segunda mano
Principado de Asturias,Asturias,2024,4,4344,477940400,Libre,Segunda mano
Principado de Asturias,Asturias,2012,4,1447,163576800,Libre,Segunda mano
Principado de Asturias,Asturias,2006,4,3278,386676100,Libre,Segunda mano
Principado de Asturias,Asturias,2007,4,2161,255139000,Libre,Segunda mano
Principado de Asturias,Asturias,2009,4,1473,170141900,Libre,Segunda mano
Principado de Asturias,Asturias,2005,4,3899,443537600,Libre,Segunda mano
Principado de Asturias,Asturias,2004,4,3430,278174400,Libre,Segunda mano
Principado de Asturias,Asturias,2023,2,3174,334090600,Libre,Segunda mano
Principado de Asturias,Asturias,2022,2,3383,362324900,Libre,Segunda mano
Principado de Asturias,Asturias,2021,2,3249,346871300,Libre,Segunda mano
Principado de Asturias,Asturias,2018,2,2538,242824000,Libre,Segunda mano
Principado de Asturias,Asturias,2016,2,1769,163934700,Libre,Segunda mano
Principado de Asturias,Asturias,2019,2,2426,230877900,Libre,Segunda mano
Principado de Asturias,Asturias,2017,2,2086,199911500,Libre,Segunda mano
Principado de Asturias,Asturias,2011,2,1187,133033700,Libre,Segunda mano
Principado de Asturias,Asturias,2014,2,1101,112266100,Libre,Segunda mano
Principado de Asturias,Asturias,2008,2,1691,193288400,Libre,Segunda mano
Principado de Asturias,Asturias,2012,2,929,100757000,Libre,Segunda mano
Principado de Asturias,Asturias,2024,2,4054,457234700,Libre,Segunda mano
Principado de Asturias,Asturias,2013,2,926,89632400,Libre,Segunda mano
Principado de Asturias,Asturias,2006,2,3021,336603700,Libre,Segunda mano
Principado de Asturias,Asturias,2010,2,1636,208507400,Libre,Segunda mano
Principado de Asturias,Asturias,2015,2,1520,146952900,Libre,Segunda mano
Principado de Asturias,Asturias,2007,2,2861,341922400,Libre,Segunda mano
Principado de Asturias,Asturias,2005,2,2822,280171000,Libre,Segunda mano
Principado de Asturias,Asturias,2004,2,3417,249789600,Libre,Segunda mano
Principado de Asturias,Asturias,2009,2,1136,130421700,Libre,Segunda mano
Principado de Asturias,Asturias,2004,1,2607,194244400,Libre,Segunda mano
Principado de Asturias,Asturias,2005,1,2642,248628900,Libre,Segunda mano
Principado de Asturias,Asturias,2009,1,972,105867200,Libre,Segunda mano
Principado de Asturias,Asturias,2007,1,2921,342107700,Libre,Segunda mano
Principado de Asturias,Asturias,2006,1,2733,297838400,Libre,Segunda mano
Principado de Asturias,Asturias,2012,1,916,100116300,Libre,Segunda mano
Principado de Asturias,Asturias,2024,1,3419,377548400,Libre,Segunda mano
Principado de Asturias,Asturias,2014,1,1042,100100200,Libre,Segunda mano
Principado de Asturias,Asturias,2008,1,1827,224828500,Libre,Segunda mano
Principado de Asturias,Asturias,2010,1,1363,159389800,Libre,Segunda mano
Principado de Asturias,Asturias,2011,1,915,97752700,Libre,Segunda mano
Principado de Asturias,Asturias,2017,1,1958,183880800,Libre,Segunda mano
Principado de Asturias,Asturias,2019,1,2305,212660400,Libre,Segunda mano
Principado de Asturias,Asturias,2015,1,1226,112536800,Libre,Segunda mano
Principado de Asturias,Asturias,2021,1,2501,247612400,Libre,Segunda mano
Principado de Asturias,Asturias,2016,1,1566,149065100,Libre,Segunda mano
Principado de Asturias,Asturias,2023,1,3004,303987300,Libre,Segunda mano
Principado de Asturias,Asturias,2013,1,684,67111900,Libre,Segunda mano
Principado de Asturias,Asturias,2022,1,3110,335036700,Libre,Segunda mano
Principado de Asturias,Asturias,2018,1,2143,196311400,Libre,Segunda mano
Región de Murcia,Murcia,2025,3,5861,723277000,Libre,Segunda mano
Región de Murcia,Murcia,2025,4,6834,842730500,Libre,Segunda mano
Región de Murcia,Murcia,2025,2,7000,848579000,Libre,Segunda mano
Región de Murcia,Murcia,2025,1,6477,750980500,Libre,Segunda mano
Región de Murcia,Murcia,2020,3,4264,379904200,Libre,Segunda mano
Región de Murcia,Murcia,2020,4,5081,457219700,Libre,Segunda mano
Región de Murcia,Murcia,2020,2,2513,233938400,Libre,Segunda mano
Región de Murcia,Murcia,2020,1,3518,320120600,Libre,Segunda mano
Región de Murcia,Murcia,2023,3,4909,478569300,Libre,Segunda mano
Región de Murcia,Murcia,2023,4,5942,589884100,Libre,Segunda mano
Región de Murcia,Murcia,2023,2,6018,592188300,Libre,Segunda mano
Región de Murcia,Murcia,2023,1,5166,502697000,Libre,Segunda mano
Región de Murcia,Murcia,2016,3,2668,235855600,Libre,Segunda mano
Región de Murcia,Murcia,2016,4,3181,285952800,Libre,Segunda mano
Región de Murcia,Murcia,2016,2,3367,303802900,Libre,Segunda mano
Región de Murcia,Murcia,2016,1,2666,236411600,Libre,Segunda mano
Región de Murcia,Murcia,2015,3,3204,304168900,Libre,Segunda mano
Región de Murcia,Murcia,2015,4,3004,269951400,Libre,Segunda mano
Región de Murcia,Murcia,2015,2,2939,269637000,Libre,Segunda mano
Región de Murcia,Murcia,2015,1,2189,188183400,Libre,Segunda mano
Región de Murcia,Murcia,2009,3,1779,229441700,Libre,Segunda mano
Región de Murcia,Murcia,2009,4,2356,304610400,Libre,Segunda mano
Región de Murcia,Murcia,2009,2,1713,225908000,Libre,Segunda mano
Región de Murcia,Murcia,2009,1,1703,231817700,Libre,Segunda mano
Región de Murcia,Murcia,2006,3,4638,561495400,Libre,Segunda mano
Región de Murcia,Murcia,2006,4,5314,661191900,Libre,Segunda mano
Región de Murcia,Murcia,2006,2,6157,713629300,Libre,Segunda mano
Región de Murcia,Murcia,2006,1,5618,646438900,Libre,Segunda mano
Región de Murcia,Murcia,2010,3,1593,196486300,Libre,Segunda mano
Región de Murcia,Murcia,2010,4,2770,352805500,Libre,Segunda mano
Región de Murcia,Murcia,2010,2,2570,335929000,Libre,Segunda mano
Región de Murcia,Murcia,2010,1,1835,231453200,Libre,Segunda mano
Región de Murcia,Murcia,2022,3,5695,582701300,Libre,Segunda mano
Región de Murcia,Murcia,2022,4,5893,596369800,Libre,Segunda mano
Región de Murcia,Murcia,2022,2,6342,646884200,Libre,Segunda mano
Región de Murcia,Murcia,2022,1,5807,572218000,Libre,Segunda mano
Región de Murcia,Murcia,2013,3,1717,169957300,Libre,Segunda mano
Región de Murcia,Murcia,2013,4,2157,200385300,Libre,Segunda mano
Región de Murcia,Murcia,2013,2,2226,212725300,Libre,Segunda mano
Región de Murcia,Murcia,2013,1,1407,128827600,Libre,Segunda mano
Región de Murcia,Murcia,2004,3,4813,397272800,Libre,Segunda mano
Región de Murcia,Murcia,2005,3,5114,538901000,Libre,Segunda mano
Región de Murcia,Murcia,2014,3,2064,183174800,Libre,Segunda mano
Región de Murcia,Murcia,2007,3,2712,359556600,Libre,Segunda mano
Región de Murcia,Murcia,2024,3,5601,604942100,Libre,Segunda mano
Región de Murcia,Murcia,2019,3,3942,366781500,Libre,Segunda mano
Región de Murcia,Murcia,2008,3,1334,176686500,Libre,Segunda mano
Región de Murcia,Murcia,2011,3,1429,165653300,Libre,Segunda mano
Región de Murcia,Murcia,2012,3,1491,150914500,Libre,Segunda mano
Región de Murcia,Murcia,2018,3,3867,343333500,Libre,Segunda mano
Región de Murcia,Murcia,2017,3,3068,271769300,Libre,Segunda mano
Región de Murcia,Murcia,2021,3,5070,493041600,Libre,Segunda mano
Región de Murcia,Murcia,2011,4,1804,200575400,Libre,Segunda mano
Región de Murcia,Murcia,2019,4,5178,474742800,Libre,Segunda mano
Región de Murcia,Murcia,2017,4,4039,351358800,Libre,Segunda mano
Región de Murcia,Murcia,2021,4,6306,607987600,Libre,Segunda mano
Región de Murcia,Murcia,2018,4,4388,400745000,Libre,Segunda mano
Región de Murcia,Murcia,2008,4,1394,190070100,Libre,Segunda mano
Región de Murcia,Murcia,2014,4,2807,255048600,Libre,Segunda mano
Región de Murcia,Murcia,2024,4,6944,775391500,Libre,Segunda mano
Región de Murcia,Murcia,2012,4,2633,262478300,Libre,Segunda mano
Región de Murcia,Murcia,2007,4,2427,325072700,Libre,Segunda mano
Región de Murcia,Murcia,2005,4,6248,671009400,Libre,Segunda mano
Región de Murcia,Murcia,2004,4,5463,501237400,Libre,Segunda mano
Región de Murcia,Murcia,2021,2,6058,548993400,Libre,Segunda mano
Región de Murcia,Murcia,2018,2,4592,408121900,Libre,Segunda mano
Región de Murcia,Murcia,2019,2,4590,416518100,Libre,Segunda mano
Región de Murcia,Murcia,2017,2,3840,334184900,Libre,Segunda mano
Región de Murcia,Murcia,2011,2,1700,200748900,Libre,Segunda mano
Región de Murcia,Murcia,2014,2,2286,213061200,Libre,Segunda mano
Región de Murcia,Murcia,2008,2,1730,238597600,Libre,Segunda mano
Región de Murcia,Murcia,2012,2,1711,183020500,Libre,Segunda mano
Región de Murcia,Murcia,2024,2,6531,675913400,Libre,Segunda mano
Región de Murcia,Murcia,2007,2,4227,548150200,Libre,Segunda mano
Región de Murcia,Murcia,2005,2,6423,638226100,Libre,Segunda mano
Región de Murcia,Murcia,2004,2,5363,437597800,Libre,Segunda mano
Región de Murcia,Murcia,2004,1,5227,403248800,Libre,Segunda mano
Región de Murcia,Murcia,2005,1,4724,444801500,Libre,Segunda mano
Región de Murcia,Murcia,2007,1,4420,533983200,Libre,Segunda mano
Región de Murcia,Murcia,2012,1,1489,159237900,Libre,Segunda mano
Región de Murcia,Murcia,2024,1,5454,550535300,Libre,Segunda mano
Región de Murcia,Murcia,2014,1,2023,188056100,Libre,Segunda mano
Región de Murcia,Murcia,2008,1,1952,270222200,Libre,Segunda mano
Región de Murcia,Murcia,2011,1,1441,170105000,Libre,Segunda mano
Región de Murcia,Murcia,2017,1,3058,262188500,Libre,Segunda mano
Región de Murcia,Murcia,2019,1,4013,361947500,Libre,Segunda mano
Región de Murcia,Murcia,2021,1,4516,420987500,Libre,Segunda mano
Región de Murcia,Murcia,2018,1,3809,329304900,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2006,3,883,166098000,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2006,4,995,188437300,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2006,2,921,172762800,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2006,1,978,184215900,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2004,3,792,124733700,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2004,4,841,129817400,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2004,2,727,128343600,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2004,1,876,118580200,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2008,3,444,79705900,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2008,4,463,79452300,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2008,2,639,121243000,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2008,1,592,104820600,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2007,3,732,141426100,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2007,4,690,126604300,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2007,2,1000,184062200,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2007,1,1020,194473400,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2005,3,785,131896200,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2005,4,1531,252594500,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2005,2,770,131195000,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2005,1,665,110696700,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2025,3,1458,276246000,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2025,4,1852,336410100,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2025,2,1939,360842500,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2025,1,1710,292643600,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2020,3,1310,175154500,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2020,4,1571,218745700,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2020,2,882,130542000,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2020,1,1232,167433100,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2016,3,893,107823900,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2016,4,1183,134771300,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2016,2,1007,126367300,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2016,1,909,107178100,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2015,3,738,86280900,Libre,Segunda mano
Comunidad Foral de Navarra,Navarra,2015,4,1252,150054200,Libre,Segunda mano
